,Date,content,floor,id
0,2019-04-17T11:51:26.439Z,你語言表達是不是沒學好？,1,31
1,2019-04-17T12:10:22.394Z,感覺只單方面講好處,2,31
2,2019-04-17T14:38:02.616Z,"高教深耕的錢，台科、北科、""""高科""""都比中山多，中山就繼續畫地自限才不會搶到其他學校的錢",3,31
3,2019-04-17T14:43:19.246Z,B3 高科併校問題一堆你怎麼不提這個況且高科是三所學校的錢加起來誒,4,31
4,2019-04-17T15:08:36.032Z,"關於高教深耕的錢
真正的警訊是
從公立大學來看
五年五百億的時候
我們的補助規模排第六
現在已經滑落到第九
所以被哪三所大學超過
中興 陽明 政大
現在不想辦法補強
早晚得越滑越後面",5,31
5,2019-04-17T15:48:39.414Z,"b1 歡迎提出文章哪裡有待改善，我會盡量改善我的語言表達，謝謝：）

b2 中山高大的部分，我比較想揣摩中山校方在打什麼主意？至於併校過程與後續問題我只有簡略帶過的原因是，如果要深入分析下去，我勢必得花更多心力與時間找他校的例子來做案例交叉對比。這工程會十分浩大，故此篇我只著重在有什麼原因使得中山想與他校併校？

當然我知道大家比較關心的是後續問題，但後續問題的討論會變得很棘手，甚至變成死胡同，因為有些已經不是花錢就能了事的問題，而是價值觀與人的問題。例如：名校迷思、學校價值、學術排名、人事遷移、人的奇模子、……等。

因此我自己的功力無法對此寫出什麼好的想法，所以我只稍微帶過而已，不知道有沒有回答到你的問題www

b3 什麼意思？可以多說點嗎？><

b4 感謝補充～",6,31
6,2019-04-17T15:51:51.524Z,b5 謝謝你的補充～,7,31
7,2019-04-16T06:01:04.896Z,對了 理工學院可能會是第一波搬遷的,1,32
8,2019-04-16T06:27:29.336Z,"重疊時期的原高大學生不加註原校系不是好到他們嗎？

學校想拿四十億補助，啊如果併了才發現沒有那麼多要怎麼辦？",2,32
9,2019-04-16T06:31:31.721Z,"B2 
副校長是說要看長期啦
因為如果說要求強制加註可能對於招生會有不利影響


那個40億經費只是「期望」
畢竟校務會議還沒開
目前只是在公聽會階段而已
教育部會核多少也都是未知數",3,32
10,2019-04-16T07:09:12.152Z,"那我分數可以躺著上高大資工
我可以直接轉ㄇ
乾這併校到底是什麼東西喇乾",4,32
11,2019-04-16T07:22:07.477Z,中山最大的缺點-沒土地；高大最大的優點-土地多。中山進軍橋頭科學園區的跳板就是高大,5,32
